NCT Number,Start Date,Completion Date
NCT02622178,2011-09-01,2013-12-01
NCT00572455,2007-12-01,2009-06-01
NCT02571712,2015-11-01,2018-06-01
NCT01997255,2014-04-01,2016-04-01
NCT01453855,2011-11-01,2012-08-01
NCT01027312,2008-02-01,2010-08-01
NCT04683055,2020-10-01,2021-05-01
NCT01881425,2015-12-01,2020-01-01
NCT01495312,2011-12-01,2013-08-01
NCT00595855,1997-10-01,2006-12-01
NCT02001155,2013-07-01,2014-07-01
NCT04484155,2018-07-01,2020-03-01
NCT00051155,2001-01-01,2004-07-01
NCT05230355,2022-02-01,2024-02-01
NCT01487655,2011-09-01,2011-12-01
NCT00442312,2006-05-01,2006-11-01
NCT01592955,2012-05-01,2015-03-01
NCT02691455,2016-02-01,2020-09-01
NCT00273455,2006-01-01,2007-05-01
NCT03760055,2019-02-01,2024-01-01
NCT05127525,2021-11-01,2022-01-01
NCT01425112,2007-12-01,2011-06-01
NCT04949555,2021-01-01,2022-03-01
NCT03736655,2019-03-01,2021-10-01
NCT03154892,2017-04-01,2017-12-01
NCT01156012,2009-09-01,2010-12-01
NCT00571012,2007-10-01,2007-12-01
NCT02157025,2015-02-01,2024-12-01
NCT01383525,2011-07-01,2019-11-01
NCT01179555,2010-10-01,2014-05-01
NCT01828255,2013-03-01,2014-05-01
NCT00333125,2006-04-01,2007-02-01
NCT03761992,2018-11-01,2020-12-01
NCT01937312,2013-10-01,2014-05-01
NCT00822055,2005-05-01,2006-11-01
NCT02376725,2011-06-01,2015-02-01
NCT01544192,2008-04-01,2012-02-01
NCT01753492,2013-08-01,2015-03-01
NCT02434692,2014-05-01,2017-04-01
NCT00941525,2009-09-01,2014-07-01
NCT04335825,2016-01-01,2019-12-01
NCT00313092,2005-01-01,2005-09-01
NCT00000122,1985-09-01,1988-06-01
NCT03646500,2015-07-01,2017-10-01
NCT05968547,2023-08-01,2023-12-01
NCT01485822,2004-07-01,2012-02-01
NCT03690622,2017-12-01,2018-04-01
NCT00695747,1998-01-01,2009-01-01
NCT01938287,2013-07-01,2014-02-01
NCT04321122,2018-08-01,2020-06-01
NCT00991822,1999-05-01,2003-12-01
NCT00430287,2007-03-01,2008-10-01
